"intelNAME","payloadNAME"
"2015-09-03 - ANGLER EK SENDS TESLACRYPT 2.0 ONE DAY, THEN CRYPTOWALL 3.0 THE NEXT","CryptoWall 3.0"
"2015-09-04 - UPATRE/DYRE MALSPAM - SUBJ: SCANNED IMAGE FROM A XEROX WORKCENTRE","Dyre"
"2015-09-08 - NEUTRINO EK FROM 46.108.156.190 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-09-11 - BIZCN GATE ACTOR NEUTRINO EK FROM 46.108.156.189 PORT 32393 - WOTPGA.ZUKONLINE.XYZ","CryptoWall 3.0"
"2015-09-14 - ANGLER EK FROM 207.182.157.157 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-09-14 - BIZCN GATE ACTOR NEUTRINO EK FROM 46.108.156.189 PORT 35827 - KXHGOKBJQC.UOQBZFYXDCT.CF","CryptoWall 3.0"
"2015-09-15 - ANGLER EK FROM 185.49.68.129 SENDS BEDEP","Bedep"
"2015-09-15 - NUCLEAR EK FROM 162.247.14.136 SENDS TESLACRYPT 2.0","TeslaCrypt 2.0"
"2015-09-16 - NEUTRINO EK FROM 89.38.149.168 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-09-16 - NUCLEAR EK FROM 162.247.14.156 SENDS TESLACRYPT 2.0","TeslaCrypt 2.0"
"2015-09-18 - NUCLEAR EK FROM 178.62.72.26 - OAACDERESFTU.TK","Miuref"
"2015-09-18 - NUCLEAR EK FROM 178.62.72.26 - OAACDERESFTU.TK","Boaxxe"
"2015-09-18 - NUCLEAR EK FROM 178.62.72.26 - OAACDERESFTU.TK","Filecoder.ED"
"2015-09-23 - BARTALEX MALSPAM SENDS PONY AND VAWTRAK","Vawtrak"
"2015-09-29 - ANGLER EK FROM 85.25.102.2 SENDS CRYPTOWALL 3.0","CryptoWall 3.0"
"2015-09-29 - NUCLEAR EK FROM 162.247.14.204 - KOLENKOVOLODKI.CF","TeslaCrypt 2.0"
"Dyre emerges as main financial Trojan threat","Dyre"
"Kovter AdFraud is updating Flash Player (and Internet Explorer)","Kovter"
"Kovter malware learns from Poweliks with persistent fileless registry update","Kovter"
"New Dridex Botnet Drives Massive Surge in Malicious Attachments","Dridex"
"New Kronos Banking Malware Advertised On Russian Forums","Kronos"
"New Neutrino EK Campaign Drops Andromeda","Andromeda"
